Subject,Age,Height,Weight,ChronoJump,Gymaware,Pushband,My Jump
One,35,171,88,19,24.8,24.3,20.9
One,,,,20.72,27.8,25.9,23.9
One,,,,21.59,29.8,26.5,22.6
One,,,,21.61,30.2,27.1,23.5
One,,,,21.34,31.6,27.1,23.5
One,,,,21.65,29.4,26.9,22.1
One,,,,23.01,31.4,28.2,24.9
One,,,,20.1,31,25.9,23
One,,,,24.12,31.8,28.8,25.8
One,,,,22.15,31.7,28.3,23.9
Two,30,169,60.6,19.58,25.6,23.7,19.6
Two,,,,20.26,26.3,25.4,20.4
Two,,,,21.41,28.5,25.9,21.3
Two,,,,20.81,28,25.9,21.3
Two,,,,21.82,29.8,25.9,24.4
Two,,,,21.21,28.6,26.5,24.4
Two,,,,21.38,28,25.9,21.3
Two,,,,25.59,34.7,29.4,27.7
Two,,,,25.83,35.5,30.5,27.2
Two,,,,28.79,37.3,33.2,31.2
Three,25,186,101,8.1,17.8,15,7.4
Three,,,,9.37,18.9,16.3,11
Three,,,,11.23,18.8,18.2,12.6
Three,,,,9.64,13.7,17.2,11
Three,,,,9.73,16.5,18,11.3
Three,,,,11.51,22.6,19.6,13
Three,,,,8.91,17.7,16.8,10.1
Three,,,,7.7,15.1,15.4,9
Three,,,,10.8,19.4,21.1,12
Three,,,,9.76,15.9,23.2,10.7
Four,22,181,87.4,26.29,35.7,33.1,25.8
Four,,,,26.29,39.3,31.9,31.2
Four,,,,28.85,45.1,31.9,31.7
Four,,,,30.77,46.6,34.7,33.8
Four,,,,30.39,47.7,35.1,32.7
Four,,,,31.63,46.9,35.7,35.4
Four,,,,32.14,43.2,36.4,34.3
Four,,,,31.75,48.6,36.4,34.9
Four,,,,31.81,49.6,35.8,34.3
Four,,,,32.32,45.9,38.5,33.3
Five,25,170,69.5,13.1,12.8,25.4,9.8
Five,,,,20.9,27.5,30,20.9
Five,,,,21.64,24.1,28.9,22.2
Five,,,,23.42,29.5,31.3,25.8
Five,,,,24.4,32.2,30,24.9
Five,,,,22.53,34,28.2,23.5
Five,,,,23.26,32.1,32.5,26.7
Five,,,,24.88,35,34.4,27.7
Five,,,,22.41,27,33.1,23.9
Five,,,,24.96,34.9,32.5,25.8
Six,28,185,79.2,17.9,28.2,27.7,18.5
Six,,,,16.72,26.4,20.6,20
Six,,,,18.16,21.8,28.9,17.6
Six,,,,17.94,30.1,24.3,22.1
Six,,,,16.01,27.3,22.1,18.4
Six,,,,17.53,25.8,24.4,19.2
Six,,,,14.53,20.5,22.2,17.7
Six,,,,17.43,23.4,28.8,18.8
Six,,,,21.94,29.4,30,24.8
Six,,,,19.09,23.4,27.1,19.6
Seven,26,171,63.5,8.47,15.3,13.4,9.6
Seven,,,,7.84,11.4,13.5,7.9
Seven,,,,18.25,23.6,23.7,20.4
Seven,,,,14.95,21,21.1,16.9
Seven,,,,17.05,23.8,21.6,18
Seven,,,,14.38,21.2,20.1,14.3
Seven,,,,15.25,22.3,22.2,16.9
Seven,,,,14.85,21.9,21.1,16.9
Seven,,,,16.43,21.6,23.2,18
Seven,,,,14.06,21.4,20.6,9.6
Eight,18,172,65,13.28,19.7,21.6,16.1
Eight,,,,19.1,25.8,27.1,21.7
Eight,,,,17.58,25.4,27.1,19.2
Eight,,,,19.04,24.6,25.4,21.3
Eight,,,,16.41,23.6,25.9,19.2
Eight,,,,19.23,27,27.1,22.6
Eight,,,,18.34,26.6,26.5,20.4
Eight,,,,17.04,23.5,25.4,21.3
Eight,,,,17.39,24.7,25.4,20.9
Eight,,,,18.55,25.6,26.5,21.8
Nine,34,172,70.6,9.65,17.4,16.8,9.8
Nine,,,,10.92,18,17.7,14.7
Nine,,,,10.47,19.9,17.7,14
Nine,,,,9.31,17.5,16.8,12.6
Nine,,,,7.24,13.9,14.6,9.8
Nine,,,,7.94,16.3,15,7.9
Nine,,,,6.55,17.2,15,9
Nine,,,,6.02,12,14.2,8.2
Nine,,,,5.46,14.6,13.8,9.3
Nine,,,,7.33,16.7,14.6,7.2
Ten,23,189,87.1,10.05,5.3,27.1,8.7
Ten,,,,12.73,15.3,19.1,13.3
Ten,,,,10.57,12,16.8,11
Ten,,,,8.47,12.2,14.6,7.7
Ten,,,,14.25,18.9,19.6,16.5
Ten,,,,10.91,16.1,17.2,10.4
Ten,,,,10.22,12.7,16.8,10.4
Ten,,,,11.63,19,17.7,12
Ten,,,,9.32,12.9,16.3,8.4
Ten,,,,10.73,15.3,16.8,11
Eleven,27,187,97,20.47,28.2,23.7,20.9
Eleven,,,,22.9,30.1,28.3,23.5
Eleven,,,,22.53,28,26.5,22.6
Eleven,,,,17,23.5,21.6,17.6
Eleven,,,,23.6,30.9,29.4,24.1
Eleven,,,,25.1,34.1,31.9,27.7
Eleven,,,,24.9,35.5,29.4,29.8
Eleven,,,,24.8,33.2,30.6,27.7
Eleven,,,,26.9,33.8,30,28.6
Eleven,,,,11.63,19,17.7,12
