Date,Clinton (D),Trump (R),Johnson (L),Stein (G)
26/10/2016,45.8,40.4,5.8,1.8
15/06/2016,40,35.3,5.3,3.3
19/06/2016,41,36,6.5,4
22/06/2016,41.7,36.8,6.5,4.2
23/06/2016,42,37,7,4.3
27/06/2016,41.9,36.9,7.4,4.4
29/06/2016,41.3,36.6,7.6,4.2
04/07/2016,41.4,36.6,7.3,4.1
06/07/2016,41.4,36.8,7.4,4.1
09/07/2016,41.5,36.7,7.7,4.2
11/07/2016,40.9,36.6,7.5,3.9
13/07/2016,41.1,36.4,7.6,3.9
14/07/2016,40.6,36.5,7.7,4.1
16/07/2016,40.6,36.4,8.1,3.9
17/07/2016,41.4,37.3,7.9,3.8
20/07/2016,41.1,37.5,8,3.7
24/07/2016,40.8,38.3,7.6,3.5
29/07/2016,40.6,38.5,7.5,3.3
31/07/2016,41.5,37.5,7.5,3.4
01/08/2016,41.6,37.4,7.7,3.5
03/08/2016,43.2,37.5,7.5,3.5
04/08/2016,43.4,37.3,8.1,3.7
07/08/2016,44,36.7,8.4,3.8
09/08/2016,44.1,36.7,8.5,3.6
10/08/2016,43.4,36.4,9,3.6
14/08/2016,43.3,36.3,9.1,3.6
16/08/2016,43.2,36.2,8.9,3.7
17/08/2016,42.7,36.4,9,3.6
21/08/2016,42.7,36.5,9,3.7
24/08/2016,42.9,37.7,8.5,3.5
28/08/2016,42.7,37.6,8.5,3.5
29/08/2016,42.5,37.9,8,3.2
30/08/2016,41.9,38,7.8,3.3
01/09/2016,41.5,38.4,8.1,3.1
04/09/2016,41.5,38.7,8.5,3.1
05/09/2016,41.5,38.7,8.6,3.2
06/09/2016,41.4,38.8,8.6,3.4
07/09/2016,41.7,38.7,8.8,3.3
08/09/2016,41.8,39.4,8.8,3
11/09/2016,41.9,39.6,8.7,3
12/09/2016,41.8,39.7,8.7,2.9
13/09/2016,41.7,40.6,8.9,2.7
14/09/2016,41.9,40.7,8.5,2.7
18/09/2016,42.5,40.6,8.3,2.6
19/09/2016,42.5,39.9,8.5,2.6
20/09/2016,42.1,39.5,8.5,2.8
21/09/2016,42,39.7,8.5,2.8
22/09/2016,42.5,40.2,7.8,2.5
25/09/2016,43.1,41.1,7.5,2.4
26/09/2016,43.5,41,7.5,2.4
28/09/2016,43.9,41,7.2,2.3
29/09/2016,44,41.1,7.1,2.3
02/10/2016,44.1,40.9,7.5,2.5
03/10/2016,43.8,40.8,7.3,2.5
04/10/2016,43.6,41,7.3,2.5
06/10/2016,43.7,41.2,7.1,2.3
09/10/2016,43.9,40.8,6.8,2.2
10/10/2016,44.8,40.1,6.5,2
13/10/2016,45.3,40.2,6.4,2.1
14/10/2016,45.2,39.6,6.2,2.1
16/10/2016,45.9,38.8,6.4,2.3
17/10/2016,46,39,6.5,2.5
18/10/2016,45.7,39,6.3,2.3
23/10/2016,45.6,39.4,6,2.2
24/10/2016,46.6,39,6,2.2
25/10/2016,45.9,39.8,5.8,2.1
