"Rank","Bib","FIS.Code","Name","Year","Nation","Jump.1","Points.1","Jump.2","Points.2","Points"
1,46,5497,"KRAFT Stefan ",2016,"AUT ",133,157.6,133,149.7,307.3
2,48,5288,"HAYBOECK Michael ",2016,"AUT ",130.5,148.2,138,151.6,299.8
3,50,5658,"PREVC Peter ",2016,"SLO ",140,160.3,125,136.4,296.7
4,49,5181,"GANGNES Kenneth ",2016,"NOR ",130.5,148.2,131.5,140.2,288.4
5,47,6100,"FORFANG Johann Andre ",2016,"NOR ",128.5,144.6,133,137.3,281.9
6,44,5564,"FREITAG Richard ",2016,"GER ",131,143.3,130,133,276.3
7,5,6288,"KOBAYASHI Ryoyu ",2016,"JPN ",131.5,141.1,126.5,134.7,275.8
8,32,4321,"STOCH Kamil ",2016,"POL ",131.5,144.3,129.5,130.4,274.7
9,42,7091,"PREVC Domen ",2016,"SLO ",131,146.5,130.5,127,273.5
9,39,4801,"KOUDELKA Roman ",2016,"CZE ",126.5,141.6,124,131.9,273.5
11,45,6098,"TANDE Daniel Andre ",2016,"NOR ",130,143.3,127.5,129.4,272.7
12,25,5298,"KOT Maciej ",2016,"POL ",133,143,126,122.9,265.9
13,38,2067,"AMMANN Simon ",2016,"SUI ",129,139,126,126,265
14,41,5174,"STJERNEN Andreas ",2016,"NOR ",128,141.2,122,123.2,264.4
15,40,5972,"FANNEMEL Anders ",2016,"NOR ",126,139.2,122,122.7,261.9
16,20,5142,"KUBACKI Dawid ",2016,"POL ",123,132.1,124.5,129.6,261.7
17,13,6698,"STEKALA Andrzej ",2016,"POL ",128,139.2,124,122.4,261.6
18,31,5262,"LEYHE Stephan ",2016,"GER ",127.5,134.3,121.5,125.9,260.2
19,43,6696,"WELLINGER Andreas ",2016,"GER ",129,139.1,119,117.1,256.2
19,29,5039,"POPPINGER Manuel ",2016,"AUT ",131.5,138.1,118.5,118.1,256.2
21,30,4322,"HULA Stefan ",2016,"POL ",131,132.7,120.5,122.7,255.4
22,12,6084,"ASCHENWALD Philipp ",2016,"AUT ",128,138.8,115,116.5,255.3
23,7,6085,"HOFER Thomas ",2016,"AUT ",132,134.7,117.5,119.8,254.5
24,35,6437,"LANISEK Anze ",2016,"SLO ",123.5,132.7,120,117.9,250.6
25,23,2918,"KRANJEC Robert ",2016,"SLO ",128,136.5,111,112.1,248.6
26,26,2947,"MATURA Jan ",2016,"CZE ",124.5,127.7,122,119.9,247.6
27,11,6165,"WOLNY Jakub ",2016,"POL ",124,132.8,116,113.5,246.3
28,18,6645,"KLIMOV Evgeniy ",2016,"RUS ",126.5,129.2,119,116.8,246
29,33,1984,"JANDA Jakub ",2016,"CZE ",123,128.6,119.5,116.4,245
30,4,5063,"KOZISEK Cestmir ",2016,"CZE ",125.5,129.1,113,107.5,236.6
31,8,4963,"ITO Kenshiro ",2016,"JPN ",122,126.1,NA,NA,126.1
32,34,2928,"FETTNER Manuel ",2016,"AUT ",121,125.9,NA,NA,125.9
33,24,4141,"KOFLER Andreas ",2016,"AUT ",124.5,125.8,NA,NA,125.8
34,37,4226,"WANK Andreas ",2016,"GER ",118,125.2,NA,NA,125.2
35,9,5237,"HARADA Yumu ",2016,"JPN ",122,124.7,NA,NA,124.7
36,21,2927,"NEUMAYER Michael ",2016,"GER ",122.5,124.4,NA,NA,124.4
37,17,6553,"SIEGEL David ",2016,"GER ",119,124.2,NA,NA,124.2
38,19,5466,"HAZETDINOV Ilmir ",2016,"RUS ",119.5,122.5,NA,NA,122.5
39,1,5939,"BIEGUN Krzysztof ",2016,"POL ",118,122,NA,NA,122
40,22,4325,"ZYLA Piotr ",2016,"POL ",121,119.8,NA,NA,119.8
41,15,4880,"KORNILOV Denis ",2016,"RUS ",119,118.3,NA,NA,118.3
42,36,5974,"HAUER Joachim ",2016,"NOR ",119,117.6,NA,NA,117.6
43,10,5924,"EGLOFF Luca ",2016,"SUI ",118.5,117.3,NA,NA,117.3
44,28,4646,"TEPES Jurij ",2016,"SLO ",119.5,117,NA,NA,117
45,2,5429,"ZIOBRO Jan ",2016,"POL ",118.5,115.4,NA,NA,115.4
46,6,5796,"MAEAETTAE Jarkko ",2016,"FIN ",119.5,112.7,NA,NA,112.7
47,14,4186,"COLLOREDO Sebastian ",2016,"ITA ",113.5,111.4,NA,NA,111.4
48,3,5109,"POGRAJC Andraz ",2016,"SLO ",115,109.4,NA,NA,109.4
49,16,5396,"LARINTO Ville ",2016,"FIN ",118.5,109.1,NA,NA,109.1
50,27,5435,"DESCHWANDEN Gregor ",2016,"SUI ",116,107.5,NA,NA,107.5
1,45,4321,"STOCH Kamil ",2015,"POL ",134,137.3,133,138.9,276.2
2,66,5497,"KRAFT Stefan ",2015,"AUT ",133,134.8,133.5,139.1,273.9
3,63,4197,"FREUND Severin ",2015,"GER ",131,132.1,133,135,267.1
4,64,5658,"PREVC Peter ",2015,"SLO ",132,133.2,130.5,131.6,264.8
5,65,5288,"HAYBOECK Michael ",2015,"AUT ",131.5,131.2,132,129.4,260.6
6,61,5972,"FANNEMEL Anders ",2015,"NOR ",129,123.2,132.5,133.1,256.3
7,39,4646,"TEPES Jurij ",2015,"SLO ",125.5,120.4,125,125.2,245.6
8,62,4801,"KOUDELKA Roman ",2015,"CZE ",128,122.7,126,121.4,244.1
9,60,2022,"KASAI Noriaki ",2015,"JPN ",128,122.6,124,119.6,242.2
10,57,4025,"DAMJAN Jernej ",2015,"SLO ",124.5,120.7,122,119.1,239.8
11,54,4889,"JACOBSEN Anders ",2015,"NOR ",125,122,122,116.7,238.7
12,44,4367,"TAKEUCHI Taku ",2015,"JPN ",125,118.7,121,112.6,231.3
13,58,5564,"FREITAG Richard ",2015,"GER ",123,118.3,121,112.8,231.1
14,55,5253,"EISENBICHLER Markus ",2015,"GER ",123.5,117.5,120.5,113.2,230.7
15,59,5040,"SCHLIERENZAUER Gregor ",2015,"AUT ",125.5,119.5,119.5,108.6,228.1
16,19,5064,"HILDE Tom ",2015,"NOR ",122.5,112.7,121.5,115.2,227.9
17,51,5284,"PUNGERTAR Matjaz ",2015,"SLO ",124,115.4,118,109.5,224.9
18,52,4259,"ITO Daiki ",2015,"JPN ",117,105.7,122.5,115.4,221.1
19,41,5676,"DEZMAN Nejc ",2015,"SLO ",120,107.2,121,112.1,219.3
20,48,2927,"NEUMAYER Michael ",2015,"GER ",121,109.6,119.5,109.5,219.1
21,43,6100,"FORFANG Johann Andre ",2015,"NOR ",119,107.5,120.5,111,218.5
22,46,2918,"KRANJEC Robert ",2015,"SLO ",119.5,106.6,121,110.5,217.1
23,35,6679,"BOYARINTSEV Vladislav ",2015,"RUS ",117,106.6,119.5,109.1,215.7
24,38,5262,"LEYHE Stephan ",2015,"GER ",119,107.4,118.5,108,215.4
25,56,5987,"VELTA Rune ",2015,"NOR ",119.5,106.6,119,108.6,215.2
26,25,5326,"MURANKA Klemens ",2015,"POL ",122,110.7,115.5,101.5,212.2
27,50,4325,"ZYLA Piotr ",2015,"POL ",124,115.5,113,95.8,211.3
28,22,5466,"HAZETDINOV Ilmir ",2015,"RUS ",124.5,114.4,111,94.7,209.1
29,32,2928,"FETTNER Manuel ",2015,"AUT ",119.5,109.3,114,98.6,207.9
30,20,5298,"KOT Maciej ",2015,"POL ",121,105.7,114.5,97.5,203.2
31,33,2708,"BRESADOLA Davide ",2015,"ITA ",117.5,105.2,NA,NA,105.2
31,27,5494,"ZNISZCZOL Aleksander ",2015,"POL ",119.5,105.2,NA,NA,105.2
33,28,5451,"KOBAYASHI Junshiro ",2015,"JPN ",117.5,104.2,NA,NA,104.2
34,26,5521,"SAKUYAMA Kento ",2015,"JPN ",118,103.3,NA,NA,103.3
35,36,6098,"TANDE Daniel Andre ",2015,"NOR ",116.5,102.7,NA,NA,102.7
36,53,6342,"KRAUS Marinus ",2015,"GER ",116,102,NA,NA,102
37,18,5695,"JUSTIN Rok ",2015,"SLO ",116.5,100.2,NA,NA,100.2
38,30,5435,"DESCHWANDEN Gregor ",2015,"SUI ",116,100,NA,NA,100
39,21,4593,"HAJEK Antonin ",2015,"CZE ",118.5,99.8,NA,NA,99.8
40,31,5142,"KUBACKI Dawid ",2015,"POL ",113,97.3,NA,NA,97.3
41,17,5168,"ZOGRAFSKI Vladimir ",2015,"BUL ",114.5,95.6,NA,NA,95.6
42,42,2947,"MATURA Jan ",2015,"CZE ",112,93.3,NA,NA,93.3
43,29,5429,"ZIOBRO Jan ",2015,"POL ",112.5,93.2,NA,NA,93.2
44,40,5796,"MAEAETTAE Jarkko ",2015,"FIN ",114.5,92.5,NA,NA,92.5
45,7,4186,"COLLOREDO Sebastian ",2015,"ITA ",113,92.1,NA,NA,92.1
46,4,5302,"MIETUS Krzysztof ",2015,"POL ",110.5,91.5,NA,NA,91.5
47,47,5757,"ASIKAINEN Lauri ",2015,"FIN ",111,89.1,NA,NA,89.1
48,1,5550,"BIELA Stanislaw ",2015,"POL ",109.5,88.3,NA,NA,88.3
49,24,5119,"KOIVURANTA Anssi ",2015,"FIN ",112.5,88,NA,NA,88
50,49,4141,"KOFLER Andreas ",2015,"AUT ",107.5,81.7,NA,NA,81.7
1,47,2934,"BARDAL Anders ",2014,"NOR ",131.5,NA,NA,NA,127
2,48,5658,"PREVC Peter ",2014,"SLO ",124.5,NA,NA,NA,124.7
3,36,5564,"FREITAG Richard ",2014,"GER ",129,NA,NA,NA,122.1
4,43,6342,"KRAUS Marinus ",2014,"GER ",130,NA,NA,NA,121.4
5,7,6194,"MAKSIMOCHKIN Mikhail ",2014,"RUS ",130.5,NA,NA,NA,119.8
6,44,4197,"FREUND Severin ",2014,"GER ",124,NA,NA,NA,117
7,33,5288,"HAYBOECK Michael ",2014,"AUT ",122.5,NA,NA,NA,116.7
8,13,5026,"NAGLIC Tomaz ",2014,"SLO ",128,NA,NA,NA,116.3
9,34,5119,"KOIVURANTA Anssi ",2014,"FIN ",125.5,NA,NA,NA,116.2
10,39,5298,"KOT Maciej ",2014,"POL ",126.5,NA,NA,NA,115.7
10,25,4141,"KOFLER Andreas ",2014,"AUT ",131,NA,NA,NA,115.7
12,49,5040,"SCHLIERENZAUER Gregor ",2014,"AUT ",118.5,NA,NA,NA,115
13,26,5326,"MURANKA Klemens ",2014,"POL ",117.5,NA,NA,NA,112.5
14,27,1984,"JANDA Jakub ",2014,"CZE ",125.5,NA,NA,NA,111.8
15,29,5939,"BIEGUN Krzysztof ",2014,"POL ",126.5,NA,NA,NA,109.9
16,35,2088,"LOITZL Wolfgang ",2014,"AUT ",120,NA,NA,NA,109.2
17,50,4321,"STOCH Kamil ",2014,"POL ",126.5,NA,NA,NA,108.2
18,10,5723,"LAMY CHAPPUIS Ronan ",2014,"FRA ",127,NA,NA,NA,107.7
19,40,4325,"ZYLA Piotr ",2014,"POL ",118.5,NA,NA,NA,106.9
20,32,2947,"MATURA Jan ",2014,"CZE ",117,NA,NA,NA,106.8
21,42,5429,"ZIOBRO Jan ",2014,"POL ",119,NA,NA,NA,106.7
22,31,5987,"VELTA Rune ",2014,"NOR ",120,NA,NA,NA,106.1
22,30,5497,"KRAFT Stefan ",2014,"AUT ",119.5,NA,NA,NA,106.1
24,15,4593,"HAJEK Antonin ",2014,"CZE ",118,NA,NA,NA,105.1
25,37,4646,"TEPES Jurij ",2014,"SLO ",117,NA,NA,NA,103.3
26,14,2708,"BRESADOLA Davide ",2014,"ITA ",116.5,NA,NA,NA,102.2
27,23,5039,"POPPINGER Manuel ",2014,"AUT ",115.5,NA,NA,NA,100.1
28,38,5972,"FANNEMEL Anders ",2014,"NOR ",116.5,NA,NA,NA,98
29,21,4889,"JACOBSEN Anders ",2014,"NOR ",114,NA,NA,NA,96.4
30,24,5891,"HVALA Jaka ",2014,"SLO ",113,NA,NA,NA,95.9
31,19,4025,"DAMJAN Jernej ",2014,"SLO ",108.5,NA,NA,NA,95.5
32,9,4186,"COLLOREDO Sebastian ",2014,"ITA ",113.5,NA,NA,NA,95.1
33,18,5064,"HILDE Tom ",2014,"NOR ",115.5,NA,NA,NA,94.7
34,5,4801,"KOUDELKA Roman ",2014,"CZE ",112.5,NA,NA,NA,93.8
35,12,5589,"JOHANSSON Robert ",2014,"NOR ",107,NA,NA,NA,90.9
36,11,5695,"JUSTIN Rok ",2014,"SLO ",108.5,NA,NA,NA,90.7
37,28,4226,"WANK Andreas ",2014,"GER ",128,NA,NA,NA,89.9
38,20,5142,"KUBACKI Dawid ",2014,"POL ",109,NA,NA,NA,88.4
39,4,5302,"MIETUS Krzysztof ",2014,"POL ",112,NA,NA,NA,88.2
40,2,5494,"ZNISZCZOL Aleksander ",2014,"POL ",104.5,NA,NA,NA,87.5
41,8,5757,"ASIKAINEN Lauri ",2014,"FIN ",112,NA,NA,NA,86.7
42,3,4322,"HULA Stefan ",2014,"POL ",104,NA,NA,NA,84.7
43,45,5438,"DIETHART Thomas ",2014,"AUT ",107,NA,NA,NA,84
44,22,4678,"BOYD-CLOWES Mackenzie ",2014,"CAN ",109.5,NA,NA,NA,83.8
45,1,6165,"WOLNY Jakub ",2014,"POL ",105,NA,NA,NA,83.2
46,16,3090,"HLAVA Lukas ",2014,"CZE ",100,NA,NA,NA,75.2
47,41,2918,"KRANJEC Robert ",2014,"SLO ",101.5,NA,NA,NA,69.8
48,17,6098,"TANDE Daniel-Andre ",2014,"NOR ",94.5,NA,NA,NA,67.8
49,6,5063,"KOZISEK Cestmir ",2014,"CZE ",100,NA,NA,NA,64.6
50,46,6696,"WELLINGER Andreas ",2014,"GER ",86,NA,NA,NA,35.9
1,59,4889,"JACOBSEN Anders ",2013,"NOR ",128.5,NA,131.5,NA,273.3
2,61,2934,"BARDAL Anders ",2013,"NOR ",132.5,NA,132,NA,271.6
3,55,4321,"STOCH Kamil ",2013,"POL ",133,NA,127,NA,268.7
4,57,5564,"FREITAG Richard ",2013,"GER ",130,NA,127.5,NA,262
5,45,5298,"KOT Maciej ",2013,"POL ",129,NA,128.5,NA,261.2
6,34,2947,"MATURA Jan ",2013,"CZE ",128,NA,129.5,NA,258.8
7,44,4367,"TAKEUCHI Taku ",2013,"JPN ",130,NA,127,NA,258.2
8,62,5040,"SCHLIERENZAUER Gregor ",2013,"AUT ",127.5,NA,129,NA,257.8
9,52,5891,"HVALA Jaka ",2013,"SLO ",133,NA,119,NA,254.7
9,38,4646,"TEPES Jurij ",2013,"SLO ",124,NA,129,NA,254.7
11,50,5658,"PREVC Peter ",2013,"SLO ",129,NA,122,NA,253.4
11,36,5497,"KRAFT Stefan ",2013,"AUT ",127,NA,124.5,NA,253.4
13,53,5064,"HILDE Tom ",2013,"NOR ",129.5,NA,124.5,NA,253
14,47,5972,"FANNEMEL Anders ",2013,"NOR ",133,NA,120.5,NA,252.3
15,35,5288,"HAYBOECK Michael ",2013,"AUT ",127,NA,125,NA,251.7
16,49,2813,"VASSILIEV Dimitry ",2013,"RUS ",132,NA,122,NA,249.3
17,46,5987,"VELTA Rune ",2013,"NOR ",125,NA,127.5,NA,247.6
18,32,4325,"ZYLA Piotr ",2013,"POL ",124.5,NA,130.5,NA,246.5
19,39,5168,"ZOGRAFSKI Vladimir ",2013,"BUL ",123,NA,128,NA,245.3
20,3,5429,"ZIOBRO Jan ",2013,"POL ",129,NA,120.5,NA,243.9
21,24,4322,"HULA Stefan ",2013,"POL ",120.5,NA,122.5,NA,241.6
22,60,4197,"FREUND Severin ",2013,"GER ",123,NA,123,NA,239.2
23,4,5494,"ZNISZCZOL Aleksander ",2013,"POL ",125.5,NA,123,NA,238.8
24,43,4226,"WANK Andreas ",2013,"GER ",123,NA,120,NA,238.4
25,48,2088,"LOITZL Wolfgang ",2013,"AUT ",125.5,NA,118,NA,236.2
26,51,2067,"AMMANN Simon ",2013,"SUI ",122,NA,116.5,NA,233.1
27,54,4143,"MORGENSTERN Thomas ",2013,"AUT ",125,NA,114.5,NA,231.4
28,22,5706,"ROMASHOV Alexey ",2013,"RUS ",120,NA,117.5,NA,226.5
29,25,5302,"MIETUS Krzysztof ",2013,"POL ",120,NA,114,NA,223.5
30,29,4186,"COLLOREDO Sebastian ",2013,"ITA ",122,NA,116,NA,222.9
31,56,6696,"WELLINGER Andreas ",2013,"GER ",122.5,NA,NA,NA,118.8
32,37,5142,"KUBACKI Dawid ",2013,"POL ",121.5,NA,NA,NA,118.3
33,7,4259,"ITO Daiki ",2013,"JPN ",122.5,NA,NA,NA,117.9
34,26,2852,"WATASE Yuta ",2013,"JPN ",119,NA,NA,NA,117.6
35,58,4141,"KOFLER Andreas ",2013,"AUT ",120.5,NA,NA,NA,116.3
36,30,5174,"STJERNEN Andreas ",2013,"NOR ",119.5,NA,NA,NA,116.2
37,11,5626,"SEMENIC Anze ",2013,"SLO ",122.5,NA,NA,NA,115.1
38,20,1984,"JANDA Jakub ",2013,"CZE ",118.5,NA,NA,NA,114.8
39,6,4678,"BOYD-CLOWES Mackenzie ",2013,"CAN ",121,NA,NA,NA,114.5
40,14,6145,"NURMSALU Kaarel ",2013,"EST ",124,NA,NA,NA,114.1
41,21,5284,"PUNGERTAR Matjaz ",2013,"SLO ",116,NA,NA,NA,112
42,42,2918,"KRANJEC Robert ",2013,"SLO ",118,NA,NA,NA,111.5
42,5,4724,"MORASSI Andrea ",2013,"ITA ",121.5,NA,NA,NA,111.5
44,40,4880,"KORNILOV Denis ",2013,"RUS ",117,NA,NA,NA,110.1
45,27,4664,"ROSLIAKOV Ilja ",2013,"RUS ",114.5,NA,NA,NA,109.6
46,1,5141,"RUTKOWSKI Lukasz ",2013,"POL ",117.5,NA,NA,NA,108.3
47,28,4801,"KOUDELKA Roman ",2013,"CZE ",114,NA,NA,NA,106.5
48,31,5757,"ASIKAINEN Lauri ",2013,"FIN ",113.5,NA,NA,NA,106.3
49,17,4720,"DELLASEGA Roberto ",2013,"ITA ",113,NA,NA,NA,102
50,23,2931,"MECHLER Maximilian ",2013,"GER ",115,NA,NA,NA,100
1,46,4321,"STOCH Kamil ",2012,"POL ",125.5,NA,135,NA,257.9
2,45,5564,"FREITAG Richard ",2012,"GER ",126.5,NA,126.5,NA,251.2
3,50,4141,"KOFLER Andreas ",2012,"AUT ",124.5,NA,130,NA,238.7
4,35,5658,"PREVC Peter ",2012,"SLO ",121.5,NA,125,NA,236
5,43,2918,"KRANJEC Robert ",2012,"SLO ",118,NA,124,NA,232.9
6,42,4801,"KOUDELKA Roman ",2012,"CZE ",122,NA,118,NA,232.5
7,24,3012,"HAPPONEN Janne ",2012,"FIN ",124,NA,122,NA,231.1
8,30,4646,"TEPES Jurij ",2012,"SLO ",119.5,NA,127,NA,230.6
9,2,5494,"ZNISZCZOL Aleksander ",2012,"POL ",124.5,NA,123,NA,226.6
10,44,4197,"FREUND Severin ",2012,"GER ",128,NA,113,NA,225.9
11,27,4025,"DAMJAN Jernej ",2012,"SLO ",126,NA,114,NA,224.8
12,39,3090,"HLAVA Lukas ",2012,"CZE ",117.5,NA,120,NA,224.2
13,28,5119,"KOIVURANTA Anssi ",2012,"FIN ",118,NA,121.5,NA,221.6
