Rank,Bib,FIS Code,Name,Year,Nation,Jump 1,Points 1,Jump 2,Points 2,Points,Podium
1,40,6696,WELLINGER Andreas ,2017,GER ,147.5,133.4,135.0,108.9,242.3,Yes
2,47,5497,KRAFT Stefan ,2017,AUT ,148.5,130.6,135.5,111.4,242.0,Yes
3,43,2928,FETTNER Manuel ,2017,AUT ,144.5,125.6,136.0,115.4,241.0,Yes
4,49,6098,TANDE Daniel Andre ,2017,NOR ,149.5,134.6,134.0,105.8,240.4,No
5,50,4321,STOCH Kamil ,2017,POL ,145.0,126.3,135.0,106.6,232.9,No
6,45,5288,HAYBOECK Michael ,2017,AUT ,135.5,107.0,145.5,118.9,225.9,No
7,18,5040,SCHLIERENZAUER Gregor ,2017,AUT ,141.5,116.8,135.0,105.7,222.5,No
8,30,4646,TEPES Jurij ,2017,SLO ,142.0,123.7,125.5,97.4,221.1,No
9,35,5658,PREVC Peter ,2017,SLO ,137.5,108.4,142.5,110.1,218.5,No
10,42,4325,ZYLA Piotr ,2017,POL ,138.0,113.5,131.0,102.7,216.2,No
11,34,6645,KLIMOV Evgeniy ,2017,RUS ,132.5,104.9,140.0,109.9,214.8,No
12,38,5174,STJERNEN Andreas ,2017,NOR ,135.0,105.1,133.0,104.4,209.5,No
13,46,5298,KOT Maciej ,2017,POL ,133.0,103.1,135.0,104.0,207.1,No
14,33,5142,KUBACKI Dawid ,2017,POL ,135.0,108.1,136.0,98.2,206.3,No
15,19,5429,ZIOBRO Jan ,2017,POL ,143.5,115.3,127.0,88.0,203.3,No
16,39,4141,KOFLER Andreas ,2017,AUT ,134.0,103.2,130.5,98.3,201.5,No
17,14,4880,KORNILOV Denis ,2017,RUS ,136.0,103.8,134.5,97.6,201.4,No
18,44,5253,EISENBICHLER Markus ,2017,GER ,133.0,103.8,129.5,96.3,200.1,No
19,37,2987,DESCOMBES SEVOIE Vincent ,2017,FRA ,138.5,107.3,132.0,92.6,199.9,No
20,32,5262,LEYHE Stephan ,2017,GER ,133.5,104.6,134.0,95.0,199.6,No
21,6,1995,AHONEN Janne ,2017,FIN ,132.0,101.4,129.5,97.0,198.4,No
22,28,5972,FANNEMEL Anders ,2017,NOR ,138.0,107.6,127.5,87.6,195.2,No
23,41,5564,FREITAG Richard ,2017,GER ,133.0,112.0,121.0,82.7,194.7,No
24,31,5589,JOHANSSON Robert ,2017,NOR ,133.5,103.5,128.5,89.8,193.3,No
25,48,7091,PREVC Domen ,2017,SLO ,133.0,106.3,120.0,81.2,187.5,No
26,20,6100,FORFANG Johann Andre ,2017,NOR ,138.5,106.5,124.0,78.0,184.5,No
27,21,4025,DAMJAN Jernej ,2017,SLO ,133.5,101.1,118.5,77.8,178.9,No
28,23,6480,PREVC Cene ,2017,SLO ,131.5,99.4,119.5,71.2,170.6,No
29,22,5585,SCHIFFNER Markus ,2017,AUT ,134.0,100.5,115.5,69.8,170.3,No
30,13,5064,HILDE Tom ,2017,NOR ,137.0,101.0,113.0,64.8,165.8,No
31,24,1984,JANDA Jakub ,2017,CZE ,136.0,99.2,NA,NA,99.2,No
32,27,4322,HULA Stefan ,2017,POL ,136.0,98.6,NA,NA,98.6,No
33,10,5945,HUBER Daniel ,2017,AUT ,134.0,97.3,NA,NA,97.3,No
34,8,6437,LANISEK Anze ,2017,SLO ,132.0,96.4,NA,NA,96.4,No
35,25,4801,KOUDELKA Roman ,2017,CZE ,135.0,96.3,NA,NA,96.3,No
36,36,5567,GEIGER Karl ,2017,GER ,130.5,96.2,NA,NA,96.2,No
37,29,2022,KASAI Noriaki ,2017,JPN ,131.0,96.0,NA,NA,96.0,No
38,3,5626,SEMENIC Anze ,2017,SLO ,129.5,94.5,NA,NA,94.5,No
39,5,2813,VASSILIEV Dimitry ,2017,RUS ,132.5,91.1,NA,NA,91.1,No
40,17,4226,WANK Andreas ,2017,GER ,126.5,89.9,NA,NA,89.9,No
41,16,3090,HLAVA Lukas ,2017,CZE ,129.0,89.3,NA,NA,89.3,No
42,2,5974,HAUER Joachim ,2017,NOR ,131.0,87.9,NA,NA,87.9,No
43,15,5796,MAEAETTAE Jarkko ,2017,FIN ,131.0,87.4,NA,NA,87.4,No
44,1,6288,KOBAYASHI Ryoyu ,2017,JPN ,129.5,86.3,NA,NA,86.3,No
45,11,5396,LARINTO Ville ,2017,FIN ,127.5,85.5,NA,NA,85.5,No
46,4,6996,AALTO Antti ,2017,FIN ,125.0,84.9,NA,NA,84.9,No
47,12,5521,SAKUYAMA Kento ,2017,JPN ,127.0,80.1,NA,NA,80.1,No
48,9,2947,MATURA Jan ,2017,CZE ,124.0,79.1,NA,NA,79.1,No
49,26,6414,STURSA Vojtech ,2017,CZE ,122.0,73.4,NA,NA,73.4,No
50,7,5466,HAZETDINOV Ilmir ,2017,RUS ,120.0,71.8,NA,NA,71.8,No
