Rank,Bib,FIS Code,Name,Year,Nation,Jump 1,Points 1,Jump 2,Points 2,Points,Podium
1,50,5040,SCHLIERENZAUER Gregor ,2010,AUT ,142.5,NA,137.5,NA,273.7,Yes
2,46,4889,JACOBSEN Anders ,2010,NOR ,139,NA,138.5,NA,269,Yes
3,38,2927,NEUMAYER Michael ,2010,GER ,140.5,NA,141,NA,264.5,Yes
4,49,4143,MORGENSTERN Thomas ,2010,AUT ,139,NA,134.5,NA,260.3,No
5,34,5064,HILDE Tom ,2010,NOR ,138,NA,139,NA,260.2,No
6,25,5288,HAYBOECK Michael ,2010,AUT ,139,NA,140.5,NA,257.6,No
7,37,1984,JANDA Jakub ,2010,CZE ,141,NA,138.5,NA,257.2,No
8,40,6296,ZAUNER David ,2010,AUT ,131.5,NA,140,NA,253.9,No
9,48,4141,KOFLER Andreas ,2010,AUT ,134.5,NA,138,NA,250.6,No
10,45,2010,UHRMANN Michael ,2010,GER ,131,NA,138.5,NA,250.5,No
11,35,1998,SCHMITT Martin ,2010,GER ,133.5,NA,137.5,NA,246.2,No
12,28,2934,BARDAL Anders ,2010,NOR ,138.5,NA,133.5,NA,240.3,No
13,43,5749,EVENSEN Johan Remen ,2010,NOR ,132,NA,133,NA,239.8,No
14,36,4025,DAMJAN Jernej ,2010,SLO ,133.5,NA,129,NA,234.5,No
15,13,5396,LARINTO Ville ,2010,FIN ,134,NA,129.5,NA,233,No
16,42,2819,CHEDAL Emmanuel ,2010,FRA ,129,NA,133,NA,232.1,No
17,32,4379,YUMOTO Fumihisa ,2010,JPN ,133.5,NA,127.5,NA,231.6,No
18,29,4724,MORASSI Andrea ,2010,ITA ,135.5,NA,128,NA,221.6,No
19,31,4197,FREUND Severin ,2010,GER ,130.5,NA,127,NA,221,No
20,21,5301,MIETUS Grzegorz ,2010,POL ,135,NA,125.5,NA,220.7,No
21,44,2129,BODMER Pascal ,2010,GER ,126.5,NA,128,NA,220.2,No
22,26,2947,MATURA Jan ,2010,CZE ,134.5,NA,123,NA,219.4,No
23,22,2987,DESCOMBES SEVOIE Vincent ,2010,FRA ,133.5,NA,125,NA,218.7,No
24,41,4226,WANK Andreas ,2010,GER ,125.5,NA,127.5,NA,218,No
25,47,2917,ROMOEREN Bjoern Einar ,2010,NOR ,126,NA,128.5,NA,215.6,No
26,14,5442,SCHABEREITER Florian ,2010,AUT ,131,NA,123,NA,211.8,No
27,1,5053,HRGOTA Robert ,2010,SLO ,128,NA,124.5,NA,207.1,No
28,30,2999,SEDLAK Borek ,2010,CZE ,129,NA,115.5,NA,196.6,No
29,10,1905,KOROLEV Alex ,2010,KAZ ,131,NA,117.5,NA,195.6,No
30,33,4186,COLLOREDO Sebastian ,2010,ITA ,132.5,NA,NA,NA,117,No
31,15,2136,BOGNER Tobias ,2010,GER ,128.5,NA,NA,NA,108,No
32,11,4041,LAZZARONI David ,2010,FRA ,129,NA,NA,NA,107.9,No
33,27,5185,MUOTKA Olli ,2010,FIN ,129,NA,NA,NA,106.9,No
